K,date,tickers,weight method 1,weight method 2
11,2004-01-06,DD,0.02017090961169693,0.0724176834052988
11,2004-01-06,EMR,0.05287457308627667,0.2014885426310161
11,2004-01-06,EXC,0.01289546476595665,1.47552010426583e-07
11,2004-01-06,GD,0.01570589611309145,0.11798072450360624
11,2004-01-06,HD,0.076679537838697,0.02777251091955156
11,2004-01-06,MS,0.2285263487350721,0.04981550908004286
11,2004-01-06,PFE,0.13266396375596062,0.17920088581556787
11,2004-01-06,TXN,0.23968613844581352,0.13005484187195684
11,2004-01-06,UNH,0.036775760026895796,0.04440220704219006
11,2004-01-06,VZ,0.024083821960559044,0.1170221753460999
11,2004-01-06,XOM,0.15993758565998034,0.05984477183265908
11,2004-04-06,AIG,0.15713324965182482,0.28920194852688663
11,2004-04-06,BA,0.0467880393902254,0.00026594130038010665
11,2004-04-06,COP,0.04695352160858098,0.023813210570459216
11,2004-04-06,EMR,0.07286814463398589,3.506457645824216e-05
11,2004-04-06,EXC,0.026398987695761367,0.10150316675525096
11,2004-04-06,FDX,0.04704997256086911,0.09196488352178217
11,2004-04-06,GS,0.07945572837967017,0.06943385140678614
11,2004-04-06,INTC,0.29460192301733185,0.022829224504101773
11,2004-04-06,JPM,0.12774562859871524,0.20940505589344965
11,2004-04-06,VZ,0.05221323652503827,0.0699379842852077
11,2004-04-06,WMT,0.04879156793799688,0.12160966865924105
11,2004-07-06,C,0.16567510983290779,1.3978560316708857e-07
11,2004-07-06,COP,0.043477360408968185,0.44849670359033167
11,2004-07-06,CSCO,0.3190869572048794,3.805708619316093e-06
11,2004-07-06,DD,0.038699297690800404,3.5987148693211843e-06
11,2004-07-06,GE,0.06875711194884004,0.36712006445621015
11,2004-07-06,GS,0.04038105763602554,1.6452841602142107e-07
11,2004-07-06,HD,0.08035773406663518,3.1213064149852084e-07
11,2004-07-06,PFE,0.13879563436303732,3.471808370929895e-07
11,2004-07-06,PG,0.028095686272651372,0.1751568243683947
11,2004-07-06,SO,0.01907502692933395,3.045559734341974e-07
11,2004-07-06,T,0.057599023645920594,0.009217734980032229
11,2004-10-06,BIIB,0.04880922598470638,1.4439961543496614e-06
11,2004-10-06,C,0.2242393053647314,0.06469275519890945
11,2004-10-06,CVS,0.01660071760684246,0.08296827963941444
11,2004-10-06,EXC,0.02150352981029544,0.04666782326413159
11,2004-10-06,HD,0.08805891143739988,0.2218444422538702
11,2004-10-06,HON,0.1104075665731692,0.06538127110277477
11,2004-10-06,TGT,0.039168475261901606,0.009321049064642265
11,2004-10-06,TXN,0.13179492912633892,0.08481926949771325
11,2004-10-06,UPS,0.14023553329145683,0.1440552223094412
11,2004-10-06,VZ,0.041743389412492046,0.14391708820699325
11,2004-10-06,XOM,0.13743841613066587,0.13633135546590838
11,2005-01-06,BMY,0.10442570614832473,0.07385637413942088
11,2005-01-06,GD,0.022749707220902488,3.756026216464745e-08
11,2005-01-06,GOOGL,0.07933523314625854,0.12845244104091044
11,2005-01-06,KO,0.08989795170380291,0.028697869841238736
11,2005-01-06,MDT,0.02381979162728272,3.210419783024386e-08
11,2005-01-06,MET,0.025977644336090306,0.010156692427754226
11,2005-01-06,NEE,0.027855010426378203,0.09221193819892318
11,2005-01-06,TXN,0.14311355858965458,0.07724200242257427
11,2005-01-06,UPS,0.2028831571899284,0.5127105480039644
11,2005-01-06,WFC,0.22421828579989023,0.07666559252946421
11,2005-01-06,XOM,0.05572395381148685,6.471731286584754e-06
11,2005-04-06,AMGN,0.09983734769868333,0.00225566456863597
11,2005-04-06,AMZN,0.019484345531851063,4.2537125006195326e-05
11,2005-04-06,DUK,0.08376391939400109,0.12398370872531168
11,2005-04-06,FDX,0.06659957584617594,0.030509538506013525
11,2005-04-06,GE,0.22037847778605676,0.22945529591947503
11,2005-04-06,GOOGL,0.09109332572752515,0.08114926943579763
11,2005-04-06,LMT,0.017171425473390813,0.1939290632989455
11,2005-04-06,LOW,0.11890942279001866,0.08751244908719755
11,2005-04-06,MRK,0.0554514920568012,0.056720029219440575
11,2005-04-06,TXN,0.1638509707530821,0.09174622709820054
11,2005-04-06,XOM,0.06345969694241373,0.10269621701598108
11,2005-07-06,ABT,0.07968775524794279,0.11948462936402421
11,2005-07-06,COF,0.014630868456693712,0.08388157700249269
11,2005-07-06,CRM,0.0012313817614883953,0.055195292907703766
11,2005-07-06,EMR,0.21208860378818944,0.00016144036615194394
11,2005-07-06,GS,0.029777717369196943,0.00010738468315106661
11,2005-07-06,INTC,0.18566815984874158,0.37043276500664396
11,2005-07-06,KO,0.031627365143164714,0.07127913082878803
11,2005-07-06,UNP,0.043655939223714975,8.817484289648926e-05
11,2005-07-06,UPS,0.09044871681342849,2.8397292816528395e-06
11,2005-07-06,WFC,0.1340239408481261,0.18705168044873377
11,2005-07-06,XOM,0.17715955149931273,0.11231508482014248
11,2005-10-06,COP,0.07111834433538243,0.024086704311311345
11,2005-10-06,DHR,0.11981777593306757,0.043851016484034035
11,2005-10-06,GS,0.1908076618049343,0.44089417810833254
11,2005-10-06,KO,0.1336379717955088,0.18839190259769206
11,2005-10-06,LMT,0.01579290326361396,0.04797824982308249
11,2005-10-06,LOW,0.06802534096638962,0.07663817324309896
11,2005-10-06,PFE,0.1673469890496007,0.027616931309459476
11,2005-10-06,SO,0.06243906283811092,0.005543253931939626
11,2005-10-06,UPS,0.039644980055058156,0.14481536853320992
11,2005-10-06,WBA,0.03509726275727548,0.00018084649098951177
11,2005-10-06,WFC,0.0962717072010582,3.3751668261746337e-06
11,2006-01-06,AMZN,0.012459997820199962,0.012408291082697198
11,2006-01-06,BAC,0.14808281461009123,0.1794493266806394
11,2006-01-06,BK,0.23001966992252867,0.33582203622883106
11,2006-01-06,BKNG,0.0625069040442855,0.07142629614204697
11,2006-01-06,CRM,0.06603482314774127,0.0796343450413443
11,2006-01-06,JNJ,0.02498914098405623,0.01675872577272479
11,2006-01-06,LMT,0.05304084418860598,0.05063840525058923
11,2006-01-06,PFE,0.05644882613501325,0.05435310720336859
11,2006-01-06,SO,0.18374800267624058,0.15244645014058328
11,2006-01-06,UPS,0.061339261912162844,0.01039760299559924
11,2006-01-06,XOM,0.10132971455907433,0.03666541346157528
11,2006-04-06,BAC,0.09998814347989549,4.476160232305183e-08
11,2006-04-06,CVX,0.06784669993386691,0.13223058684911945
11,2006-04-06,HON,0.06887550713775994,0.20708464879456698
11,2006-04-06,JPM,0.07122465613600401,0.07815923261183987
11,2006-04-06,KO,0.13169942395678333,1.1236719342874084e-07
11,2006-04-06,LOW,0.05110851664148756,3.5749538110393226e-08
11,2006-04-06,MDT,0.017911860114148474,1.1500919700499916e-08
11,2006-04-06,QCOM,0.31278502736971703,0.27614005961950133
11,2006-04-06,SO,0.033610351594807616,1.386867176491771e-08
11,2006-04-06,UNP,0.01518661494200792,0.11083032802353542
11,2006-04-06,VZ,0.1297631986935217,0.19555492585351214
11,2006-07-06,BIIB,0.16361582080187576,0.07472335759153284
11,2006-07-06,BRK-B,0.0014280896264024245,1.9556015915574306e-06
11,2006-07-06,CVX,0.0733828888743069,0.16376426189156373
11,2006-07-06,GS,0.1519370238015456,0.003219267390173447
11,2006-07-06,JPM,0.14871853353111655,0.07737296829506614
11,2006-07-06,KO,0.10253383025005301,0.18158651923455835
11,2006-07-06,LIN,0.10228138705398881,0.0199604260041849
11,2006-07-06,RTX,0.03182326230143469,0.1713340360570347
11,2006-07-06,SO,0.01408721313927894,1.0315060043332325e-06
11,2006-07-06,UNH,0.013514425221989548,2.0581985209808665e-07
11,2006-07-06,UPS,0.19667752539800779,0.3080359706084724
11,2006-10-06,FDX,0.19157655352135994,4.530045168619633e-05
11,2006-10-06,IBM,0.1522585079715122,0.1140724142037695
11,2006-10-06,JPM,0.15018178995423223,0.10641079807267656
11,2006-10-06,MS,0.15910597587901582,0.10217855076000228
11,2006-10-06,NVDA,0.10000486792901081,0.0754388429797441
11,2006-10-06,SO,0.05370896772393264,0.19173457067276264
