K,date,tickers,weight
11,2004-04-06,BA,0.00026594130038010665
11,2004-04-06,COP,0.023813210570459216
11,2004-04-06,EMR,3.506457645824216e-05
11,2004-04-06,EXC,0.10150316675525096
11,2004-04-06,FDX,0.09196488352178217
11,2004-04-06,GS,0.06943385140678614
11,2004-04-06,INTC,0.022829224504101773
11,2004-04-06,JPM,0.20940505589344965
11,2004-04-06,VZ,0.0699379842852077
11,2004-04-06,WMT,0.12160966865924105
11,2004-07-06,C,1.3978560316708857e-07
11,2004-07-06,COP,0.44849670359033167
11,2004-07-06,CSCO,3.805708619316093e-06
11,2004-07-06,DD,3.5987148693211843e-06
11,2004-07-06,GE,0.36712006445621015
11,2004-07-06,GS,1.6452841602142107e-07
11,2004-07-06,HD,3.1213064149852084e-07
11,2004-07-06,PFE,3.471808370929895e-07
11,2004-07-06,PG,0.1751568243683947
11,2004-07-06,SO,3.045559734341974e-07
11,2004-07-06,T,0.009217734980032229
11,2004-10-06,BIIB,1.4439961543496614e-06
11,2004-10-06,C,0.06469275519890945
11,2004-10-06,CVS,0.08296827963941444
11,2004-10-06,EXC,0.04666782326413159
11,2004-10-06,HD,0.2218444422538702
11,2004-10-06,HON,0.06538127110277477
11,2004-10-06,TGT,0.009321049064642265
11,2004-10-06,TXN,0.08481926949771325
11,2004-10-06,UPS,0.1440552223094412
11,2004-10-06,VZ,0.14391708820699325
11,2004-10-06,XOM,0.13633135546590838
11,2005-01-06,BMY,0.07385637413942088
11,2005-01-06,GD,3.756026216464745e-08
11,2005-01-06,GOOGL,0.12845244104091044
11,2005-01-06,KO,0.028697869841238736
11,2005-01-06,MDT,3.210419783024386e-08
11,2005-01-06,MET,0.010156692427754226
11,2005-01-06,NEE,0.09221193819892318
11,2005-01-06,TXN,0.07724200242257427
11,2005-01-06,UPS,0.5127105480039644
11,2005-01-06,WFC,0.07666559252946421
11,2005-01-06,XOM,6.471731286584754e-06
11,2005-04-06,AMGN,0.00225566456863597
11,2005-04-06,AMZN,4.2537125006195326e-05
11,2005-04-06,DUK,0.12398370872531168
11,2005-04-06,FDX,0.030509538506013525
11,2005-04-06,GE,0.22945529591947503
11,2005-04-06,GOOGL,0.08114926943579763
11,2005-04-06,LMT,0.1939290632989455
11,2005-04-06,LOW,0.08751244908719755
11,2005-04-06,MRK,0.056720029219440575
11,2005-04-06,TXN,0.09174622709820054
11,2005-04-06,XOM,0.10269621701598108
11,2005-07-06,ABT,0.11948462936402421
11,2005-07-06,COF,0.08388157700249269
11,2005-07-06,CRM,0.055195292907703766
11,2005-07-06,EMR,0.00016144036615194394
11,2005-07-06,GS,0.00010738468315106661
11,2005-07-06,INTC,0.37043276500664396
11,2005-07-06,KO,0.07127913082878803
11,2005-07-06,UNP,8.817484289648926e-05
11,2005-07-06,UPS,2.8397292816528395e-06
11,2005-07-06,WFC,0.18705168044873377
11,2005-07-06,XOM,0.11231508482014248
11,2005-10-06,COP,0.024086704311311345
11,2005-10-06,DHR,0.043851016484034035
11,2005-10-06,GS,0.44089417810833254
11,2005-10-06,KO,0.18839190259769206
11,2005-10-06,LMT,0.04797824982308249
11,2005-10-06,LOW,0.07663817324309896
11,2005-10-06,PFE,0.027616931309459476
11,2005-10-06,SO,0.005543253931939626
11,2005-10-06,UPS,0.14481536853320992
11,2005-10-06,WBA,0.00018084649098951177
11,2005-10-06,WFC,3.3751668261746337e-06
11,2006-01-06,AMZN,0.012408291082697198
11,2006-01-06,BAC,0.1794493266806394
11,2006-01-06,BK,0.33582203622883106
11,2006-01-06,BKNG,0.07142629614204697
11,2006-01-06,CRM,0.0796343450413443
11,2006-01-06,JNJ,0.01675872577272479
11,2006-01-06,LMT,0.05063840525058923
11,2006-01-06,PFE,0.05435310720336859
11,2006-01-06,SO,0.15244645014058328
11,2006-01-06,UPS,0.01039760299559924
11,2006-01-06,XOM,0.03666541346157528
11,2006-04-06,BAC,4.476160232305183e-08
11,2006-04-06,CVX,0.13223058684911945
11,2006-04-06,HON,0.20708464879456698
11,2006-04-06,JPM,0.07815923261183987
11,2006-04-06,KO,1.1236719342874084e-07
11,2006-04-06,LOW,3.5749538110393226e-08
11,2006-04-06,MDT,1.1500919700499916e-08
11,2006-04-06,QCOM,0.27614005961950133
11,2006-04-06,SO,1.386867176491771e-08
11,2006-04-06,UNP,0.11083032802353542
11,2006-04-06,VZ,0.19555492585351214
11,2006-07-06,BIIB,0.07472335759153284
11,2006-07-06,BRK-B,1.9556015915574306e-06
11,2006-07-06,CVX,0.16376426189156373
11,2006-07-06,GS,0.003219267390173447
11,2006-07-06,JPM,0.07737296829506614
11,2006-07-06,KO,0.18158651923455835
11,2006-07-06,LIN,0.0199604260041849
11,2006-07-06,RTX,0.1713340360570347
11,2006-07-06,SO,1.0315060043332325e-06
11,2006-07-06,UNH,2.0581985209808665e-07
11,2006-07-06,UPS,0.3080359706084724
11,2006-10-06,FDX,4.530045168619633e-05
11,2006-10-06,IBM,0.1140724142037695
11,2006-10-06,JPM,0.10641079807267656
11,2006-10-06,MS,0.10217855076000228
11,2006-10-06,NVDA,0.0754388429797441
11,2006-10-06,SO,0.19173457067276264
11,2006-10-06,T,0.08290062379956312
11,2006-10-06,TGT,0.15449308666961442
11,2006-10-06,UPS,0.00017165371421253082
11,2006-10-06,WBA,2.612460740039743e-06
11,2006-10-06,XOM,0.17255154621523153
11,2007-01-05,AMZN,0.04048936402514307
