,,weight
2010-10-07,RTX,0.2192231150872191
2010-10-07,SO,0.025517148332603164
2010-10-07,TSLA,0.0042725793438317125
2010-10-07,V,0.01613374787690973
2010-10-07,WFC,0.4400446938427421
2011-01-07,CAT,0.09074496532001722
2011-01-07,COP,0.15048809144898945
2011-01-07,GOOG,0.1726086729179764
2011-01-07,JPM,0.25727325171314713
2011-01-07,MA,0.024554404573868864
2011-01-07,MRK,0.06748008706384151
2011-01-07,NVDA,0.028135343239096965
2011-01-07,ORCL,0.02911985036755832
2011-01-07,RTX,0.150060072050186
2011-01-07,TSLA,0.029535261305318177
2011-04-07,AMZN,0.08059205812993812
2011-04-07,CL,0.0434471623218129
2011-04-07,GOOG,0.08807683313960338
2011-04-07,HD,0.04194502695393761
2011-04-07,NEE,0.030404014248520957
2011-04-07,RTX,0.29493696040854095
2011-04-07,UPS,0.09432132039610476
2011-04-07,USB,0.2211103127669929
2011-04-07,V,0.050108563048808306
2011-04-07,XOM,0.05505774858574
2011-07-07,CMCSA,0.10310234311867
2011-07-07,CVX,0.0883912411742848
2011-07-07,GOOG,0.15172254735832957
2011-07-07,JPM,0.16540872774089857
2011-07-07,LOW,0.05295784091753299
2011-07-07,MA,0.015606592129405943
2011-07-07,MMM,0.22891024908724206
2011-07-07,MRK,0.08868267372634916
2011-07-07,NEE,0.039635698092669744
2011-07-07,UPS,0.06558208665461718
2011-10-07,COP,0.16905121495791126
2011-10-07,FDX,0.14143516022069094
2011-10-07,GOOG,0.05868103939690396
2011-10-07,JPM,0.17129478998147912
2011-10-07,KO,0.07318636225191867
2011-10-07,NEE,0.0843561046524794
2011-10-07,NFLX,0.02007939072273995
2011-10-07,QCOM,0.2756616640407514
2011-10-07,TMUS,0.0013598055893872046
2011-10-07,WBA,0.004894468185738177
2012-01-06,DUK,0.032295460840090176
2012-01-06,GILD,0.0060723161691704315
2012-01-06,GOOGL,0.19673001496041914
2012-01-06,HD,0.029478922966438205
2012-01-06,JPM,0.18606339643838188
2012-01-06,NFLX,0.015886182440463435
2012-01-06,RTX,0.17857948732835863
2012-01-06,TXN,0.03706393711059257
2012-01-06,UPS,0.17068747280301677
2012-01-06,XOM,0.14714280894306866
2012-04-05,ADBE,0.06899603560547907
2012-04-05,CHTR,0.022497382665166106
2012-04-05,GOOG,0.24416798893522493
2012-04-05,HON,0.12477104915748223
2012-04-05,LLY,0.04040565584821828
2012-04-05,MMM,0.097300314331264
2012-04-05,MS,0.2045462627189007
2012-04-05,NEE,0.02370228775207041
2012-04-05,T,0.0365025755602078
2012-04-05,XOM,0.1371104474259864
2012-07-06,ADBE,0.08994557862454823
2012-07-06,AXP,0.10754448153793332
2012-07-06,C,0.11627772150443601
2012-07-06,F,0.025556100666942427
2012-07-06,GOOGL,0.053589119259785434
2012-07-06,KO,0.12093509437663919
2012-07-06,LLY,0.04666336916939751
2012-07-06,MA,0.21688939244523633
2012-07-06,MMM,0.16796509945632648
2012-07-06,T,0.05463404295875509
2012-10-08,ABT,0.1072148119013544
2012-10-08,AMZN,0.11225665751669157
2012-10-08,C,0.1248773517749457
2012-10-08,CL,0.07597431503948474
2012-10-08,FB,0.018701017682601656
2012-10-08,MA,0.026712125904390482
2012-10-08,MMM,0.14692667700932438
2012-10-08,NEE,0.022581682102844343
2012-10-08,QCOM,0.2395523403409445
2012-10-08,WFC,0.12520302072741832
2013-01-07,CMCSA,0.23694052098834772
2013-01-07,DHR,0.10244489393315674
2013-01-07,EMR,0.06534337216953025
2013-01-07,FB,0.026979845392261757
2013-01-07,GD,0.0616172153377358
2013-01-07,JPM,0.09338725165252287
2013-01-07,SBUX,0.016709474487568206
2013-01-07,SO,0.012079440767884973
2013-01-07,TMUS,0.0014330524272941055
2013-01-07,XOM,0.3830649328436975
2013-04-08,ACN,0.08274504927098131
2013-04-08,ADBE,0.03405965570822778
2013-04-08,BK,0.0990597058212864
2013-04-08,BKNG,0.05908968586809126
2013-04-08,C,0.14147832047395073
2013-04-08,GD,0.189675156555805
2013-04-08,GOOGL,0.059150645339104815
2013-04-08,MA,0.07138127401442412
2013-04-08,MMM,0.15262870462956346
2013-04-08,MO,0.11073180231856512
2013-07-08,BLK,0.12062910591856855
2013-07-08,BRK-B,0.19206223560023322
2013-07-08,CL,0.1906821483210546
2013-07-08,GE,0.04061345797789523
